Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,284199330.2706847,31252141.620272335,784247228.7650808,19634582.315168623,386038062.12846774,0.0
2005-02-01,223044909.87468377,4360300.460033916,788715693.261071,37437553.3904392,276794550.97423583,0.0
2005-03-01,208542489.98671407,10116495.183352796,789471658.6714433,100673219.46127838,317824822.3391793,0.0
2005-04-01,127457192.83608335,209644.96453827366,787894909.183443,115657081.19329411,240065425.00027615,9455947.987017604
2005-05-01,174164908.2153861,0.0,787836628.3224213,173234190.90571767,334229947.35145813,24585465.21710005
2005-06-01,29374704.48739777,0.0,717750912.6730162,248827342.65943542,100959645.59037323,37823791.948070414
2005-07-01,16706590.733489886,0.0,572369992.3033218,239148074.09460396,15722769.233243102,49170930.4342001
2005-08-01,16911742.599940397,0.0,472037293.3571089,223397572.08120006,43450793.07589221,39714983.14905123
2005-09-01,10518483.462212512,0.0,433166267.6064312,164225451.85151377,64663447.76957914,18911895.974035207
2005-10-01,34722788.33020418,0.0,511965691.7615329,93112228.4645098,194782686.33289632,9455947.987017604
2005-11-01,23336839.983993325,976331.9363025334,595215461.108211,60679687.01494117,160777361.18344465,0.0
2005-12-01,93859329.23723933,13183032.29640591,697676205.3739679,38108813.65359216,254559596.75875697,0.0
2006-01-01,217947455.22902393,15004141.89336965,760793773.9904517,26420407.534070592,336650954.71319944,0.0
2006-02-01,122413166.36347938,1840328.5718286217,769957559.7314092,39451783.28505882,171167389.3514097,0.0
2006-03-01,310031354.3756278,14752443.820880188,778587601.0263326,66020388.44076867,410608003.45224607,0.0
2006-04-01,173622490.3672723,5661182.852515176,775650304.832201,114157512.76730184,296887675.38536495,9758754.330347953
2006-05-01,8180212.019964759,0.0,687634969.6277685,199669463.2133882,55735372.911237866,25372760.950312182
2006-06-01,13120524.482288817,0.0,565438405.0960498,234770318.94181955,46314528.27446028,39035017.32139181
2006-07-01,18236245.291927148,0.0,454812343.3560501,257222829.46040794,62617789.29983537,50745521.900624365
2006-08-01,15762433.218753342,0.0,394753613.9696424,211496118.53307453,47457546.717668355,40986766.903833
2006-09-01,19631243.262315735,0.0,434021705.2508654,141576971.33101964,166649523.92321423,19517508.660695907
2006-10-01,40229989.50515706,0.0,540610923.9707407,79076128.76082353,217952417.7336112,9758754.330347953
2006-11-01,28816411.648154248,573249.5442672621,603207243.9772762,48307568.72850193,144845356.28665328,0.0
2006-12-01,86853578.40360579,0.0,689934941.5884107,16162469.57374901,198756197.79272866,0.0
2007-01-01,62390457.347732574,0.0,721706542.1520004,13573770.173552932,113473257.94925943,0.0
2007-02-01,177869329.62138763,4162504.930123455,759659676.7356945,29751531.123317648,260872963.89731377,0.0
2007-03-01,75064659.36438528,0.0,757684370.2327905,80774574.28923917,156844905.3706102,0.0
2007-04-01,15898901.898375804,18984.06926152119,695854848.9571869,148041493.71014902,77216082.14336456,9953408.219592037
2007-05-01,8998838.90295384,0.0,645592008.6843336,171750629.86109808,86092925.7052193,25878860.846996136
2007-06-01,15377840.29196547,0.0,579501378.0439111,202376923.2183529,75022947.79088251,39813632.87836815
2007-07-01,19694507.87880398,0.0,470296973.62018853,260271121.4115689,57229151.04323018,51757721.69399227
2007-08-01,17661507.660330717,0.0,388264282.6342522,244541585.02701172,63414600.29454076,41804313.43438494
2007-09-01,19385528.79933947,0.0,399346407.8214953,168974392.47730985,144201861.87345317,19906816.439184073
2007-10-01,26498671.35479921,0.0,468589433.3681746,89615753.38016476,167886406.7654429,9953408.219592037
2007-11-01,6321715.996766159,0.0,483547659.4530147,42768218.02397645,49438496.977209225,0.0
2007-12-01,213427950.35032123,11880865.771257216,726412571.1395618,15214846.675764702,508127397.9149698,0.0
2008-01-01,292548835.51719874,35330972.98388138,766573073.6542193,13974588.597129408,394718783.37716067,0.0
