Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,164731839.74588045,30640702.720025256,695902637.4342347,59213266.299647056,386038062.12846774,0.0
2005-02-01,142125234.26938242,2926087.8347839047,737273599.8112626,92173407.99330975,276794550.97423583,0.0
2005-03-01,145734862.60080197,7652012.344871832,754590971.9924512,156455366.9663686,317824822.3391793,0.0
2005-04-01,42585106.29804448,0.0,754503928.594675,224620295.42633736,240065425.00027615,9455947.987017604
2005-05-01,51273186.54390114,0.0,750424643.0217586,330627286.0198509,334229947.35145813,24585465.21710005
2005-06-01,14304241.960638918,0.0,624959649.9949785,299421761.1750903,100959645.59037323,37823791.948070414
2005-07-01,16552247.330585135,0.0,427294094.88500947,328896997.18213296,15722769.233243102,49170930.4342001
2005-08-01,16681677.83186768,0.0,321332869.4238645,254269210.30093333,43450793.07589221,39714983.14905123
2005-09-01,8668249.67763071,0.0,294547501.6284528,169015883.93709022,64663447.76957914,18911895.974035207
2005-10-01,12396885.526427887,0.0,355699681.0724111,136413831.26110592,194782686.33289632,9455947.987017604
2005-11-01,5274916.194569669,969379.7433144669,416603084.12996346,104285834.11742747,160777361.18344465,0.0
2005-12-01,42453660.28987046,10317660.278846323,545970014.6731745,70999654.33629018,254559596.75875697,0.0
2006-01-01,117920629.97696163,15048407.435795693,681640268.0348703,59656324.17085493,336650954.71319944,0.0
2006-02-01,74619329.93024616,1645719.280267837,706679909.4770535,77818131.91311376,171167389.3514097,0.0
2006-03-01,228466680.34184444,14638635.708503908,745878404.7747642,129186486.49999219,410608003.45224607,0.0
2006-04-01,98646981.1000737,5907814.559000693,739584208.4188595,226232672.30132535,296887675.38536495,9758754.330347953
2006-05-01,3715103.9688081676,0.0,551856488.8537368,321076693.26543534,55735372.911237866,25372760.950312182
2006-06-01,11545703.909067966,0.0,389753478.4095567,309524441.7588314,46314528.27446028,39035017.32139181
2006-07-01,20993822.21300455,0.0,288526693.40784425,306304261.72338814,62617789.29983537,50745521.900624365
2006-08-01,17798451.777009822,0.0,257520109.62576348,236679773.81218064,47457546.717668355,40986766.903833
2006-09-01,11456163.189317342,0.0,267636954.87849182,207177521.34452543,166649523.92321423,19517508.660695907
2006-10-01,8302472.943679784,0.0,298586428.77886176,199819894.39853317,217952417.7336112,9758754.330347953
2006-11-01,6569171.154834289,0.0,319374062.453406,128998159.07251762,144845356.28665328,0.0
2006-12-01,18656150.016047157,0.0,440588734.984734,56727025.502933346,198756197.79272866,0.0
2007-01-01,15906984.342175907,0.0,499724979.3419353,37009786.131066665,113473257.94925943,0.0
2007-02-01,69048021.9998039,3746738.578698272,591441124.023313,99233920.3501177,260872963.89731377,0.0
2007-03-01,29788806.9720382,0.0,551532684.9319078,189520775.12070587,156844905.3706102,0.0
2007-04-01,9617623.384921866,167917.09504975646,443771846.6168691,229236848.04882357,77216082.14336456,9953408.219592037
2007-05-01,2224010.6033953717,0.0,323600982.5997886,315434637.8277882,86092925.7052193,25878860.846996136
