Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,22221968326.299297,1090527992.3418965,54754808227.01572,1579185194.9917445,27533607210.39644,0.0
2005-02-01,12722256634.325472,31586325.311106905,55150639933.35439,2506750293.4738045,15829685671.195936,0.0
2005-03-01,9402712187.499603,126309548.1001729,54604136188.3793,5859469142.893451,14845619670.282204,0.0
2005-04-01,6253891658.14391,30197748.797748722,53610083941.4686,8044473143.444217,13180263468.46151,292591139.6276599
2005-05-01,5417062352.673375,54761991.73310495,51434038722.82059,10313810294.316612,13015295728.433567,760736964.2881224
2005-06-01,2245742673.9031405,16746681.871119026,48072545806.52954,12642325009.235088,9423948872.774794,1170364558.5106397
2005-07-01,680438454.2141442,31682773.135149084,39844050869.37929,13359666077.039911,2769895402.5459957,1521473928.5762448
2005-08-01,1498141360.007853,19921010.236252483,37006900097.458,11778474875.297209,7290975531.602812,1228882786.315931
2005-09-01,1377774386.3258762,990032.0773998171,36186427901.17238,8023460434.562369,6102995836.719643,585182279.2553198
2005-10-01,2530554105.576283,0.0,38817723301.36531,5185125648.074811,9643258768.36639,292591139.6276599
2005-11-01,1281711801.2304204,5097167.07450974,42374204658.34752,3345994090.1837406,7962274605.904154,0.0
2005-12-01,6142306245.288383,403616667.03892374,46528604859.63574,2572929089.062454,13386586538.123886,0.0
2006-01-01,9743717156.342075,331729625.686638,49411323441.80285,2158660133.351084,15321389603.43127,0.0
2006-02-01,4855496925.504937,13065746.006146079,49332357268.57294,2925636821.16547,7662384437.661044,0.0
2006-03-01,16168545151.308336,520587602.1901378,52675401273.24407,4162359354.7896204,24368132407.72648,0.0
2006-04-01,4560529427.435382,59288102.161277734,50972307709.91791,7448710374.89026,10052022922.383654,297034535.8687907
2006-05-01,514995754.4432706,1720101.7743158522,45557249681.937706,9637102612.183035,2931870670.6133513,772289794.0302544
2006-06-01,567945444.9571261,9660169.828052323,38711169075.48762,12527131841.671888,2983557329.398928,1188138143.4751627
2006-07-01,1485582496.282879,19423905.86296805,35564989829.65457,13423196156.140543,7927067293.637667,1544579588.0605087
2006-08-01,1145934152.9988658,11468879.82281188,33302387138.350353,11184911997.93881,5277827450.809916,1247545033.902252
2006-09-01,1766868939.561511,110574.8418193127,35250548500.16535,6856363140.477901,9068774925.482288,594069071.7375814
2006-10-01,8202235251.854067,183887.45223125862,43335747431.82929,4874177302.131902,20805241385.169476,297034535.8687907
2006-11-01,2630434600.0084777,9134049.986408953,46187462810.81678,3434784272.052564,8853342486.692488,0.0
2006-12-01,6400230756.291161,490612.3072471737,50105000469.129745,1800961123.050803,12222389267.635946,0.0
2007-01-01,5116321342.693522,0.0,51589639046.51998,1400211560.9834242,8080525944.466017,0.0
2007-02-01,8423915500.167825,41519992.43322891,52499197610.38233,2885660596.5000014,12356353632.474976,0.0
2007-03-01,4753240638.310449,0.0,51555637229.83375,5503366691.263756,9332237950.780622,0.0
2007-04-01,1872585069.473114,6078918.735911519,48800286948.19598,9099406275.132349,7451213605.560273,291851545.158219
2007-05-01,720097218.4397358,0.0,44244690742.42856,11244177980.15924,5478278407.7044525,758814017.470408
2007-06-01,689677424.0484225,4082317.3735462697,38603008588.90817,11910135954.056503,3154435606.1922407,1167406180.632876
2007-07-01,1178156054.6290424,10145504.682467055,34891247377.68909,13122663985.237062,6591100941.048343,1517628034.940816
2007-08-01,1350859183.0040107,6204276.193469629,32782010381.481857,13629561478.391747,8183471573.154444,1225776473.8754594
2007-09-01,1899482918.209118,0.0,34254120355.46943,9148395879.252308,10415001207.60218,583703090.316438
2007-10-01,1179291846.0931277,0.0,36199120308.36864,5296929396.188249,7454004106.429402,291851545.158219
2007-11-01,402398661.5700969,0.0,36803057323.34778,3010747285.8342433,3558321598.9464636,0.0
2007-12-01,12111154212.797794,136634878.61301872,49207833450.40559,1373572371.1873708,26366251165.57604,0.0
2008-01-01,16953387166.728125,848194746.8292452,53071840736.38907,1661253465.154037,23597402849.729053,0.0
2008-02-01,16782942517.075212,110879217.41725746,54415075643.81032,2134618449.2243474,20559451520.177204,0.0
2008-03-01,5426374315.170585,11927477.283532618,53345785663.42784,4498979521.4513235,8778542359.57035,0.0
2008-04-01,1205256152.3043795,0.0,49940051214.18557,7539969124.774361,4073870824.9859896,292320565.1956727
2008-05-01,2235108557.934561,171348.76387016944,48303993606.71969,9208905995.626448,8182633568.763871,760033467.9678501
2008-06-01,1200716894.1520963,5487651.676445889,43199526128.29289,11193810031.746328,4644381906.16191,1169282260.7826908
2008-07-01,793033368.0968872,14858124.832360849,35949432451.499054,14190196546.7042,3960768017.630391,1520066935.9357002
2008-08-01,1081711698.5962546,8150747.5591620095,33222695838.252354,11746182382.023674,6105797224.645775,1227746377.1896315
2008-09-01,776673325.6416742,0.0,32862623577.163986,6950335119.879277,5034902591.494845,584641130.3913454
