Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,264198784.14063174,15564283.863921251,566961360.2159044,25213673.72789786,318041556.2012571,0.0
2005-02-01,147111759.66929954,0.0,567365974.0254073,19009371.462663963,166847995.70660117,0.0
2005-03-01,79486639.05582793,0.0,565177326.933176,59594720.71307318,137157370.88563558,0.0
2005-04-01,4744423.51046346,0.0,504660108.6017513,121623505.68241908,65683029.84920542,75963.21876098296
2005-05-01,2221115.7843072726,0.0,418339086.2652561,124530661.49058366,39670352.32999053,197504.37731226286
2005-06-01,15400823.108154994,0.0,423025648.05073667,118713964.59611745,135489485.56310531,303852.8750439318
2005-07-01,5147379.437587877,0.0,393506519.99498713,102224125.01920521,68728534.52471995,395008.7546245257
2005-08-01,12449260.75458112,0.0,368645144.63875717,146413660.53783837,122626842.85506965,319045.51913699857
2005-09-01,49835035.359165415,0.0,421871622.7645248,67797350.99959756,169665859.22481373,151926.4375219659
2005-10-01,34608883.24958591,0.0,447210259.2348238,80052527.66105017,139399036.65893292,75963.21876098296
2005-11-01,5265089.864695288,0.0,441009650.851589,39299918.81323575,37595617.01904456,0.0
2005-12-01,31907287.49480188,0.0,453918629.1142782,37699295.78512865,82079829.05220993,0.0
2006-01-01,22198761.33984186,0.0,460331839.01328385,37402996.86615819,66006401.73996808,0.0
2006-02-01,4249422.947398813,0.0,446251096.31049454,28112260.213022996,17319366.000650216,0.0
2006-03-01,106789283.5852111,0.0,512092411.0681264,29061615.938966963,202222434.84595728,0.0
2006-04-01,2867155.277692258,0.0,454164397.6037926,83047496.21224385,26295034.722146124,87917.32131111012
2006-05-01,268937.99164707016,0.0,409145093.4374074,66647649.40947218,4579069.018199245,228585.03572269273
2006-06-01,1590268.3844549374,0.0,379334409.140449,75196566.86407845,20656391.660898138,351669.2852444405
2006-07-01,44414635.10647454,0.0,402672173.90440166,100940525.38158913,153659068.38605842,457170.07144538546
2006-08-01,35363497.458364494,0.0,400132976.79838616,68740879.71510935,86075098.40003888,369252.75445507927
2006-09-01,87729123.70400105,0.0,438990396.82050776,35934473.37743737,162435367.31487992,175834.64262222024
2006-10-01,300810670.15830284,355226.3147487122,548267552.5466511,34736842.132816054,445695705.6276757,87917.32131111012
2006-11-01,32178349.372659847,0.0,554188537.7450497,31104421.327420656,69498184.658801,0.0
2006-12-01,34476133.67355386,0.0,559639393.6905086,12471345.04261032,52513510.803365,0.0
2007-01-01,77871033.27577163,0.0,565137657.2266955,10852699.32100077,94626551.0630976,0.0
2007-02-01,52443170.16490149,0.0,566170774.8647898,18952882.49171278,72632670.91726163,0.0
2007-03-01,27090389.01057488,0.0,555689667.1892679,48875572.08238771,65550459.65511427,0.0
2007-04-01,22151793.265842266,0.0,522202832.83176506,95354763.7388372,83926250.15402772,80923.20909708293
2007-05-01,3667778.6143674003,0.0,448378091.7135618,105666008.66473629,34498692.47869226,210400.33980768712
2007-06-01,2822519.205858692,0.0,376485196.67043287,98608857.40578716,18091542.559132025,323692.8363883317
2007-07-01,7989648.150454747,0.0,375072142.7656357,77328404.46004322,63684333.035341516,420800.67961537425
2007-08-01,52684216.88312414,0.0,409036953.39917713,80362010.7722006,160587289.4305431,339877.48649353953
2007-09-01,48742418.28797179,0.0,415991891.70269585,73360759.14839233,124123027.5407755,161846.41819416586
2007-10-01,17084895.20402055,0.0,424072804.3370597,24705639.740829196,48785528.99138431,80923.20909708293
2007-11-01,28998493.581369743,0.0,443347778.60217273,21501024.40472597,69541720.92633244,0.0
2007-12-01,177343564.87558502,0.0,540704019.0091685,8241009.1432225285,283822733.4351553,0.0
2008-01-01,189008312.15614837,0.0,564168931.5855541,15402120.117653662,228584664.51030794,0.0
2008-02-01,168440830.13977587,0.0,566375188.9844183,47241520.20076348,218320763.19118798,0.0
2008-03-01,2113071.8657146893,0.0,523398721.2511825,67873125.27223836,26918596.763492033,0.0
2008-04-01,15083075.562220957,0.0,510080227.4319866,69506541.98202263,71408327.31597796,86385.51812557189
2008-05-01,18152236.088460498,0.0,479460466.1571959,86961589.54666877,74050129.30418962,224602.34291253256
2008-06-01,34097793.13359784,0.0,462749306.3351218,68415171.15607285,84139478.2007836,345542.07250228757
2008-07-01,4142603.01420423,0.0,427926968.35457575,54271828.75587209,16622094.3253964,449204.6858250651
2008-08-01,21395586.051310405,0.0,418512671.35595036,98136519.89679782,102713737.0633562,362819.1660247796
2008-09-01,10370863.391030727,0.0,426629505.44138527,39282581.08490408,55028457.62984442,172771.03625114379
2008-10-01,20526293.78468293,0.0,439972947.53465587,20975396.208191905,53586897.859090395,86385.51812557189
2008-11-01,42549064.97355182,0.0,468508093.32423127,20426637.512172356,91681866.18492135,0.0
2008-12-01,250730008.2559849,575703.9236196658,559245928.4680233,24431127.743442673,367325838.3327307,0.0
2009-01-01,68603190.72751321,0.0,562549000.0874338,12601215.722767182,84780587.80211248,0.0
2009-02-01,25725386.42474143,0.0,561576370.9583504,19630578.720845614,44423937.79922975,0.0
2009-03-01,10008567.35536423,0.0,537450640.0944184,59700308.93631505,45674596.558996454,0.0
2009-04-01,24324577.12632757,0.0,527206810.4442863,91837171.12543444,105668243.77985092,158564.52684986233
2009-05-01,33704580.84580147,0.0,505622689.5176921,96530237.706614,107559725.16016605,412267.77200500056
2009-06-01,18143831.461815115,0.0,453917302.9092704,102403154.17749424,65586880.49506962,634258.1073994493
2009-07-01,6271546.924376643,0.0,389287717.3481584,110436728.95367801,40096975.60144785,824535.5440100011
2009-08-01,2573791.8840932148,0.0,367171451.9225677,70736660.00602594,33563301.46139131,665971.0191888339
2009-09-01,17497212.980691347,0.0,396481988.833269,51485552.42390769,96109990.45352876,317129.05369972467
2009-10-01,18733613.58631987,0.0,418029086.3318207,32614421.740763385,72548372.97045733,158564.52684986233
2009-11-01,12181458.526380576,0.0,432584266.06345445,19348768.142288014,45958502.73929004,0.0
2009-12-01,210142752.60805532,0.0,541711061.0051862,8944117.749586755,328955841.7963573,0.0
2010-01-01,209997114.8344558,0.0,564747380.9563577,3208663.729939217,236680688.75290874,0.0
2010-02-01,201776277.0247405,0.0,567073260.9175674,5739897.511675236,210364441.92305946,0.0
2010-03-01,151029496.5707304,0.0,567266083.2151296,34357568.17750053,186266812.53890744,0.0
2010-04-01,11206426.098658169,0.0,532082198.17026466,100211417.02296428,76137633.60242552,151112.41726285883
2010-05-01,2259459.107170588,0.0,415901885.96263725,160544412.9676359,45727597.919155724,392892.30537749047
2010-06-01,5394065.6986815175,0.0,351270068.34608454,131724438.81798337,63193153.89272021,604449.6690514353
